n_samples,Distribution,Algorithm,Accuracy,Precision,Recall,F1 Score,Time
6500,blobs,DBSCAN,0.9689230769230769,1.0,0.37846153846153846,0.5491071428571429,0.1198
6500,blobs,Isolation Forest,0.9833846153846154,0.8338461538461538,0.8338461538461538,0.8338461538461538,0.2866
6500,blobs,Z-Score,0.9873846153846154,0.9919028340080972,0.7538461538461538,0.8566433566433567,0.0010
6500,blobs,IQR,0.9804615384615385,1.0,0.6092307692307692,0.7571701720841301,0.0985
6500,moons,KMeans,0.9796923076923076,0.796923076923077,0.796923076923077,0.796923076923077,6.2188
6500,moons,DBSCAN,0.9718461538461538,1.0,0.4369230769230769,0.6081370449678801,0.0807
6500,moons,Isolation Forest,0.984,0.84,0.84,0.84,0.2974
6500,moons,Z-Score,0.986,1.0,0.72,0.8372093023255814,0.0010
6500,moons,IQR,0.9843076923076923,1.0,0.6861538461538461,0.8138686131386861,0.1036
6500,circles,KMeans,0.9701538461538461,0.7015384615384616,0.7015384615384616,0.7015384615384616,6.2061
6500,circles,DBSCAN,0.996,0.9901639344262295,0.9292307692307692,0.9587301587301588,0.0442
6500,circles,Isolation Forest,0.9815384615384616,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.3018
6500,circles,Z-Score,0.9838461538461538,1.0,0.676923076923077,0.8073394495412844,0.0010
6500,circles,IQR,0.9756923076923077,1.0,0.5138461538461538,0.6788617886178862,0.1012
7000,normal,KMeans,0.9694285714285714,0.6942857142857143,0.6942857142857143,0.6942857142857143,7.1898
7000,normal,DBSCAN,0.9822857142857143,0.8087431693989071,0.8457142857142858,0.8268156424581006,0.0639
7000,normal,Isolation Forest,0.9831428571428571,0.8314285714285714,0.8314285714285714,0.8314285714285714,0.3052
7000,normal,Z-Score,0.9792857142857143,0.7621483375959079,0.8514285714285714,0.8043184885290149,0.0010
7000,normal,IQR,0.9264285714285714,0.39751552795031053,0.9142857142857143,0.5541125541125541,0.1059
7000,blobs,KMeans,0.99,0.9,0.9,0.9,7.2370
7000,blobs,DBSCAN,0.987,0.8261964735516373,0.9371428571428572,0.8781793842034806,0.0571
7000,blobs,Isolation Forest,0.988,0.88,0.88,0.88,0.2964
7000,blobs,Z-Score,0.9804285714285714,1.0,0.6085714285714285,0.7566607460035524,0.0010
7000,blobs,IQR,0.961,1.0,0.22,0.36065573770491804,0.1011
7000,moons,KMeans,0.9737142857142858,0.7371428571428571,0.7371428571428571,0.7371428571428571,7.1366
7000,moons,DBSCAN,0.9848571428571429,0.8465909090909091,0.8514285714285714,0.8490028490028491,0.0467
7000,moons,Isolation Forest,0.9802857142857143,0.8028571428571428,0.8028571428571428,0.8028571428571428,0.2944
7000,moons,Z-Score,0.9835714285714285,1.0,0.6714285714285714,0.8034188034188035,0.0010
7000,moons,IQR,0.981,0.9954337899543378,0.6228571428571429,0.7662565905096661,0.1024
7000,circles,KMeans,0.9722857142857143,0.7228571428571429,0.7228571428571429,0.7228571428571429,7.0961
7000,circles,DBSCAN,0.9877142857142858,0.9049079754601227,0.8428571428571429,0.8727810650887574,0.0482
7000,circles,Isolation Forest,0.9805714285714285,0.8057142857142857,0.8057142857142857,0.8057142857142857,0.2974
7000,circles,Z-Score,0.9868571428571429,1.0,0.7371428571428571,0.8486842105263158,0.0010
7000,circles,IQR,0.987,0.9814126394052045,0.7542857142857143,0.8529886914378029,0.1035
7500,normal,KMeans,0.9749333333333333,0.7493333333333333,0.7493333333333333,0.7493333333333333,8.1327
7500,normal,DBSCAN,0.9822666666666666,0.7867298578199052,0.8853333333333333,0.8331242158092849,0.0637
7500,normal,Isolation Forest,0.9882666666666666,0.8826666666666667,0.8826666666666667,0.8826666666666667,0.2797
7500,normal,Z-Score,0.9865333333333334,0.8663101604278075,0.864,0.8651535380507344,0.0011
7500,normal,IQR,0.9406666666666667,0.4544270833333333,0.9306666666666666,0.6106736657917761,0.1109
7500,blobs,KMeans,0.9802666666666666,0.8026666666666666,0.8026666666666666,0.8026666666666666,8.1612
7500,blobs,DBSCAN,0.9888,0.8798955613577023,0.8986666666666666,0.8891820580474934,0.0676
7500,blobs,Isolation Forest,0.9842666666666666,0.8426666666666667,0.8426666666666667,0.8426666666666667,0.2900
7500,blobs,Z-Score,0.9852,0.9925373134328358,0.7093333333333334,0.8273716951788491,0.0010
7500,blobs,IQR,0.9770666666666666,1.0,0.5413333333333333,0.7024221453287197,0.1180
7500,moons,KMeans,0.9781333333333333,0.7813333333333333,0.7813333333333333,0.7813333333333333,8.1605
7500,moons,DBSCAN,0.9978666666666667,0.9786666666666667,0.9786666666666667,0.9786666666666667,0.0464
7500,moons,Isolation Forest,0.9805333333333334,0.8053333333333333,0.8053333333333333,0.8053333333333333,0.3083
7500,moons,Z-Score,0.9822666666666666,1.0,0.6453333333333333,0.7844408427876823,0.0010
7500,moons,IQR,0.9766666666666667,1.0,0.5333333333333333,0.6956521739130435,0.1102
7500,circles,KMeans,0.9688,0.688,0.688,0.688,8.2105
7500,circles,DBSCAN,0.9901333333333333,0.9659442724458205,0.832,0.8939828080229226,0.0528
7500,circles,Isolation Forest,0.9786666666666667,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.3034
7500,circles,Z-Score,0.9844,1.0,0.688,0.8151658767772512,0.0010
7500,circles,IQR,0.9830666666666666,1.0,0.6613333333333333,0.7961476725521669,0.1098
8000,normal,KMeans,0.96925,0.6925,0.6925,0.6925,9.4504
8000,normal,DBSCAN,0.98725,0.8743718592964824,0.87,0.8721804511278195,0.0793
8000,normal,Isolation Forest,0.987,0.87,0.87,0.87,0.2880
8000,normal,Z-Score,0.983,0.8055555555555556,0.87,0.8365384615384616,0.0010
8000,normal,IQR,0.93425,0.4274193548387097,0.9275,0.5851735015772871,0.1200
8000,blobs,KMeans,0.9865,0.865,0.865,0.865,9.5538
8000,blobs,DBSCAN,0.95825,1.0,0.165,0.2832618025751073,0.2579
8000,blobs,Isolation Forest,0.98825,0.8825,0.8825,0.8825,0.3007
8000,blobs,Z-Score,0.985375,1.0,0.7075,0.828696925329429,0.0010
8000,blobs,IQR,0.96675,1.0,0.335,0.50187265917603,0.1163
8000,moons,KMeans,0.97725,0.7725,0.7725,0.7725,9.4553
8000,moons,DBSCAN,0.961375,1.0,0.2275,0.37067209775967414,0.1148
8000,moons,Isolation Forest,0.9845,0.845,0.845,0.845,0.3110
